# Date: 1697409699.116252 sec (Sun 15 Oct 2023 18:41:39 EDT)
# Tranalyzer 0.9.0 (Anteater), Cobra
# Core configuration: L2, IPv4, IPv6
# SensorID: 666
# PID: 68261
# Command line: /home/yfy/tranalyzer2-0.9.0/tranalyzer2/build/tranalyzer -r /home/yfy/data/captures_IoT-Sentinel/Aria/Setup-A-1-STA.pcap -w /home/yfy/flows/Aria/ -b /tmp/plugins.load
# HW info: p14;Linux;5.15.90.1-microsoft-standard-WSL2;#1 SMP Fri Jan 27 02:56:13 UTC 2023;x86_64
# SW info: libpcap version 1.10.1 (with TPACKET_V3)
#
# Plugins loaded:
#   01: protoStats, version 0.9.0
#   02: basicFlow, version 0.9.0
#   03: macRecorder, version 0.9.0
#   04: portClassifier, version 0.9.0
#   05: basicStats, version 0.9.0
#   06: tcpFlags, version 0.9.0
#   07: tcpStates, version 0.9.0
#   08: icmpDecode, version 0.9.0
#   09: connStat, version 0.9.0
#   10: txtSink, version 0.9.0
#
# Col No.	Type	Name	Description
90	F	tcpRTTAckTripMin	TCP ACK trip min
91	F	tcpRTTAckTripMax	TCP ACK trip max
92	F	tcpRTTAckTripAve	TCP ACK trip average
93	F	tcpRTTAckTripJitAve	TCP ACK trip jitter average
94	F	tcpRTTSseqAA	TCP round trip time (A: SYN, SYN-ACK, ACK, B: ACK-ACK)
95	F	tcpRTTAckJitAve	TCP ACK round trip average jitter
96	H8	tcpStatesAFlags	TCP state machine anomalies
97	H8	icmpStat	ICMP Status
98	U8	icmpTCcnt	ICMP type code count
99	H32_H32_H16	icmpBFTypH_TypL_Code	ICMP Aggregated type H (IPv6>128, IPv4>31), L (<32) & code bit field
100	H32	icmpTmGtw	ICMP time/gateway
101	F	icmpEchoSuccRatio	ICMP Echo reply/request success ratio
102	U64	icmpPFindex	ICMP parent flowIndex
103	U32	connSip	Number of unique source IPs
104	U32	connDip	Number of unique destination IPs
105	U32	connSipDip	Number of connections between source and destination IP
106	U32	connSipDprt	Number of connections between source IP and destination port
107	F	connF	The 'f' number: connSipDprt / connSip [EXPERIMENTAL]
108	F	connG	The 'g' number: connSipDprt / connSipDip [EXPERIMENTAL]
109	U64	connNumPCnt	Number of unique IP's source packet count
110	U64	connNumBCnt	Number of unique IP's source byte count
